Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C15, C16, C2, C5, C9",0402,10,100nF,C513772
"C14, C3, C4, C8",0402,4,1uF,
"C6, C7",0402,2,30pF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D4, D5, D6, D7, D8, D9",D_SOD-123,35,1N4148W,
F1,0603,1,CF06V5TR50,C163116
"FB1, FB2, FB3, FB4",0603,4,BLM18SG700TZ1D,C882974
"J1, J2",HRO-TYPE-C-31-M-13x,2,USB_C_Receptacle_USB2.0,C165948
"R1, R11, R6",0402,3,10K,C2078429
R10,0402,1,1K,C2139907
"R2, R3",0402,2,27R,C1701143
"R4, R7",0402,2,5.1K,C2075916
"R5, R8, R9",0402,3,68K,C2075916
U1,SOT-23-5,1,SN74LV1T34DBV,C100024
U2,SOT-23-5,1,SPX3819M5-L-3-3/TR,C9055
U3,USON-8_4x3mm_P0.8mm,1,W25Q32JVUUIQ,C2999380
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,RP2040,C2040
U5,SOT-23-6,1,SRV05-4,C558418
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,TXM12M0004252LBCEO00T,C284156
ZD1,D_SOD-323F,1,1N5819WS,
