Designator,Mid X,Mid Y,Rotation,Layer
C1,111.72,-25.01,0.0,bottom
C10,31.78,-16.81,90.0,bottom
C11,24.55,-24.76,0.0,bottom
C12,36.82,-27.09,135.0,bottom
C13,29.72,-20.51,45.0,bottom
C14,32.71246,-16.799682,90.0,bottom
C15,31.10927,-20.496455,45.0,bottom
C16,24.61,-27.91,0.0,bottom
C2,121.1,-25.06,0.0,bottom
C3,53.84,-7.73,270.0,bottom
C4,49.32,-8.51,90.0,bottom
C5,25.14,-28.83,0.0,bottom
C6,30.28,-34.67,0.0,bottom
C7,29.15,-39.01,180.0,bottom
C8,29.08,-21.19,45.0,bottom
C9,32.8,-31.65,270.0,bottom
D1,29.330877,-17.137269,90.0,bottom
D10,50.971563,-38.581588,90.0,bottom
D11,69.999063,-38.581588,90.0,bottom
D12,89.071563,-38.581588,90.0,bottom
D13,124.61,-38.2875,90.0,bottom
D14,143.64,-37.72,90.0,bottom
D15,29.52,-57.631588,90.0,bottom
D16,31.921563,-57.631588,90.0,bottom
D17,50.971563,-57.631588,90.0,bottom
D18,70.021563,-57.631588,90.0,bottom
D19,89.071563,-57.631588,90.0,bottom
D2,48.68,-19.53,90.0,bottom
D20,124.62,-57.62,90.0,bottom
D21,143.63,-58.0175,90.0,bottom
D22,26.29,-64.9025,270.0,bottom
D23,36.73,-64.81,270.0,bottom
D24,50.571563,-76.681588,90.0,bottom
D25,70.021563,-76.681588,90.0,bottom
D26,89.071563,-76.681588,90.0,bottom
D27,124.62,-75.38,90.0,bottom
D28,143.67,-75.15,90.0,bottom
D29,48.66,-95.73,90.0,bottom
D3,51.08,-19.53,90.0,bottom
D30,50.971563,-95.731588,90.0,bottom
D31,67.621563,-95.731588,90.0,bottom
D32,70.021563,-95.731588,90.0,bottom
D33,89.071563,-95.731588,90.0,bottom
D34,124.61,-94.79,90.0,bottom
D35,143.7,-94.51,90.0,bottom
D4,70.021563,-19.531588,90.0,bottom
D5,89.071563,-19.531588,90.0,bottom
D6,124.64,-19.25,90.0,bottom
D7,143.6,-19.39,90.0,bottom
D8,29.52,-43.581588,90.0,bottom
D9,31.921563,-43.581588,90.0,bottom
F1,48.72,-4.14,180.0,bottom
FB1,44.91,-9.12,180.0,bottom
FB2,14.49,-8.68,180.0,bottom
FB3,18.02,-9.2,180.0,bottom
FB4,49.0,-2.01,180.0,bottom
J1,40.171563,-4.205,180.0,bottom
J2,21.121563,-4.205,180.0,bottom
R1,16.32,-28.21,270.0,bottom
R10,28.92,-34.2,270.0,bottom
R11,20.67,-26.26,180.0,bottom
R2,32.18,-18.7,45.0,bottom
R3,31.52,-19.36,45.0,bottom
R4,37.84,-8.92,180.0,bottom
R5,22.53,-25.32,180.0,bottom
R6,43.55,-26.28,270.0,bottom
R7,41.64,-8.92,270.0,bottom
R8,22.53,-26.26,0.0,bottom
R9,20.67,-25.32,0.0,bottom
U1,53.28,-4.12,0.0,bottom
U2,51.57,-7.99,90.0,bottom
U3,40.829999,-26.135,90.0,bottom
U4,30.646563,-26.756588,135.0,bottom
U5,30.27,-9.09,0.0,bottom
Y1,29.740001,-36.850001,270.0,bottom
ZD1,47.73,-8.07,270.0,bottom
